localize_action_arguments.attributes.From,From,,
localize_action_arguments.attributes.From.placeholder,Select an Option,,
localize_action_arguments.attributes.To,To,,
localize_action_arguments.attributes.To.placeholder,Select some Options,,
login.button,Login,登录,
login.email,Email:,邮箱地址:,
login.forget_password,Forget Password,忘记密码,
login.password,Password:,密码:,
login.register,Register,注册,
login.remember_me,Remember,记住密码,
materials.actions.Delete,,Delete,
materials.actions.Localize,,Localize,
materials.attributes.Code,,Code,
materials.attributes.ID,,ID,
materials.attributes.Localization,,Localization,
materials.attributes.Name,,Name,
materials.name.plural,,Materials,
messages.name.plural,Messages,,
messages.tables.no_items,No messages to show.,,
navs.about,ABOUT US,关于我们,
navs.buy,BUY,买盘,
navs.contact_us,CONTACT US,联系我们,
navs.home,HOME,首页,
navs.join_our_team,JOIN OUR TEAM,加入我们,
navs.rent,RENT,租盘,
notifications.name.plural,Notifications,,
open_graph_metadata.attributes.Content,,Content,
open_graph_metadata.attributes.Property,,Property,
orders.actions.Cancel,Cancel,Cancel,
orders.actions.Delete,Delete,Delete,
orders.actions.Ship,Ship,Ship,
orders.attributes.Cancelled At,Cancelled At,Cancelled At,
orders.attributes.ID,ID,ID,
orders.attributes.Payment Amount,Payment Amount,Payment Amount,
orders.attributes.Shipped At,Shipped At,Shipped At,
orders.attributes.Shipping Address,Shipping Address,Shipping Address,
orders.attributes.State,State,State,
orders.attributes.User,User,User,
product.add_to_cart,ADD TO CART,添加到购物车,
product.add_to_wishlist,TO WISHLIST,添加到购物列表,
product.also_bought,WHAT OTHER PEOPLE BOUGHT,用户还买了什么,
product.also_bought_note,"People who bought this products, also bought the following products","买过这件产品的用户, 还购买了以下产品",
product.color,COLOR:,颜色:,
product.description,DESCRIPTION:,描述:,
product.framistan,Framistan:,Framistan:,
product.made_in,Made in:,制作地:,
product.materials,Materials:,材料:,
product.quantity,QTY:,数量:,
product.recommendations,RECOMMENDATIONS,推荐,
product.recommendations_note,Products you might also like based on other products you viewed,你可能还会喜欢下面的产品,
product.share,SHARE:,分享:,
product.size,SIZE:,尺寸:,
product.size_guide,Size Guide,尺寸表,
product.specs,SPECS:,规格:,
product_images.actions.Delete,,Delete,
product_images.filter.Category,,Category,
product_images.filter.Color,,Color,
product_images.filter.Media Type,,Media Type,
product_images.name.plural,,Product Images,
product_properties.attributes.Name,,Name,
product_properties.attributes.Value,,Value,
products.actions.Create New Version,Create New Version,Create New Version,
products.actions.Delete,Delete,Delete,
products.actions.Localize,Localize,Localize,
products.actions.Sync from Name,,Sync from Name,
products.actions.View On Site,View On Site,View On Site,
products.attributes.Category,,Category,
products.attributes.Category.placeholder,,Select an Option,
products.attributes.Collections,,Collections,
products.attributes.Description,,Description,
products.attributes.Featured,,Featured,
products.attributes.Main Image,,Main Image,
products.attributes.Name,,Name,
products.attributes.Name's slug,,Name's slug,
products.attributes.Product Properties,,Product Properties,
products.attributes.Publish Ready,,Publish Ready,
products.attributes.Scheduled End At,,Scheduled End At,
products.attributes.Scheduled End At.placeholder,,YYYY-MM-DD HH:MM,
products.attributes.Scheduled Event,,Scheduled Event,
products.attributes.Scheduled Start At,,Scheduled Start At,
products.attributes.Scheduled Start At.placeholder,,YYYY-MM-DD HH:MM,
products.attributes.add_Main Image,,Add Main Image,
products.attributes.add_Product Property,,Add Product Property,
products.form.sections.Basic Information,,Basic Information,
products.form.sections.Organization,,Organization,
products.form.sections.Seo Meta,,Seo Meta,
products.name,,Product,
products.name.plural,,Products,
properties.attributes.Agent's Reference No.,Agent's Reference No.,,
properties.attributes.Asking Rent(HK$),Asking Rent(HK$),,
properties.attributes.Building Name,Building Name,,
properties.attributes.Building Type(Unit),Building Type(Unit),,
properties.attributes.Building Type(Unit).placeholder,Select an Option,,
properties.attributes.Condition,Condition,,
properties.attributes.Condition.placeholder,Select some Options,,
properties.attributes.Contact Persons,Contact Persons,,
properties.attributes.Contact Persons.placeholder,Select some Options,,
properties.attributes.Direction,Direction,,
properties.attributes.Direction.placeholder,Select some Options,,
properties.attributes.Facitlities,Facitlities,,
properties.attributes.Facitlities.placeholder,Select some Options,,
properties.attributes.Floor,Floor,,
properties.attributes.Floor Space(sq.ft.),Floor Space(sq.ft.),,
properties.attributes.Floor Zone,Floor Zone,,
properties.attributes.Floor Zone.placeholder,Select an Option,,
properties.attributes.For,For,,
properties.attributes.For.placeholder,Select an Option,,
properties.attributes.Gov. Rates(HK$),Gov. Rates(HK$),,
properties.attributes.Images,Images,,
properties.attributes.Inclusive?,Inclusive?,,
properties.attributes.Is Premier Property,Is Premier Property,,
properties.attributes.Is Vaild,Is Vaild,,
properties.attributes.Main Image,Main Image,,
properties.attributes.Management Fee(HK$),Management Fee(HK$),,
properties.attributes.No. Of Bathdrooms,No. Of Bathdrooms,,
properties.attributes.No. Of Bathdrooms.placeholder,Select an Option,,
properties.attributes.No. Of Bedrooms,No. Of Bedrooms,,
properties.attributes.No. Of Bedrooms.placeholder,Select an Option,,
properties.attributes.Outdoor,Outdoor,,
properties.attributes.Outdoor Area(sq.ft.),Outdoor Area(sq.ft.),,
properties.attributes.Outdoor.placeholder,Select some Options,,
properties.attributes.Property Address,Property Address,,
properties.attributes.Property Address.Address,Address,,
properties.attributes.Property Address.City,City,,
properties.attributes.Property Address.Country,Country,,
properties.attributes.Property Address.Region,Region,,
properties.attributes.Property Address.Search on Map,Search on Map,,
properties.attributes.Property Address.Set Address from Marker,Set Address from Marker,,
properties.attributes.Property Address.Zip,Zip,,
properties.attributes.Property Layouts,Property Layouts,,
properties.attributes.Property Layouts.placeholder,Select an Option,,
properties.attributes.Property Type,Property Type,,
properties.attributes.Property Type.placeholder,Select an Option,,
properties.attributes.Property Views,Property Views,,
properties.attributes.Property Views.placeholder,Select some Options,,
properties.attributes.Remark,Remark,,
properties.attributes.Rooms,Rooms,,
properties.attributes.Rooms.placeholder,Select some Options,,
properties.attributes.Saleable Area(sq.ft.),Saleable Area(sq.ft.),,
properties.attributes.Selling Price Rank,Selling Price Rank,,
properties.attributes.Selling Price Rank.placeholder,Select an Option,,
properties.attributes.SellingPrice(HK$),SellingPrice(HK$),,
properties.attributes.Unit,Unit,,
properties.attributes.Username(Owner),Username(Owner),,
properties.attributes.add_Image,Add Image,,
properties.attributes.add_Main Image,Add Main Image,,
properties.form.sections.Details,Details,,
properties.form.sections.Features,Features,,
properties.form.sections.Location,Location,,
properties.form.sections.Others,Others,,
properties.form.sections.Property Information,Property Information,,
properties.form.sections.Selling Price,Selling Price,,
properties.form.sections.Upload Images,Upload Images,,
properties.name,Property,,
properties.name.plural,Properties,,
properties.tables.no_items,No properties to show.,,
qor_action_bar.action.Admin Dashboard,Admin Dashboard,,
qor_action_bar.action.Edit SEO,Edit SEO,,
qor_action_bar.action.edit,EDIT,,
qor_action_bar.action.logged_as,Logged in as {{.DisplayName}},,
qor_action_bar.action.logout,LOGOUT,,
qor_action_bar.action.preview,PREVIEW,,
qor_admin.account.logout,logout,logout,
qor_admin.actions.advanced_filter,,Advanced Filter,
qor_admin.actions.bulk_edit,,Bulk Edit,Bulk Edit
qor_admin.actions.exit_bulk_edit,,Exit Bulk Edit,Exit Bulk Edit
qor_admin.actions.please_select_an_item,Please select at least one item,Please select at least one item,
qor_admin.actions.search_bar_search,Search,Search,
qor_admin.errors.the resource District cannot be created in zh-CN,,the resource District cannot be created in zh-CN,
qor_admin.filter.advanced_filter,,Advanced Filter,
qor_admin.filter.apply,,Apply,
qor_admin.filter.save_this_filter,,Save This Filter,
qor_admin.form.add,Add,Add,
qor_admin.form.add_items,,ADD ITEMS,
qor_admin.form.are_you_sure,Are you sure?,Are you sure?,
qor_admin.form.cancel,Cancel,Cancel,
qor_admin.form.cancel_edit,Cancel Edit,Cancel Edit,
qor_admin.form.click_to_select,,Click to Select,
qor_admin.form.confirm.button.cancel,cancel,cancel,
qor_admin.form.confirm.button.ok,ok,ok,
qor_admin.form.done,Done,,
qor_admin.form.edit.title,Edit {{$1}},,
qor_admin.form.index.title,{{$1}},{{$1}},
qor_admin.form.new.title,Add {{$1}},Add {{$1}},
qor_admin.form.notifications/notifications.title,{{$1}},,
qor_admin.form.save_changes,Save Changes,Save Changes,
qor_admin.form.select_many_hint,item(s) selected,item(s) selected,
